,zrun_comp,zrun_const,vrun_comp,vrun_const
0,0.62372,0.65984,273.8845659370125,283.9310374251279
1,4e-05,2e-05,4.658042031160274,0.9016675729485532
2,0.09152,0.09048,2.9350188323157496,2.9530306958483834
3,0.00478,0.00478,1.125800440374456,1.115880995801242
4,0.15518,0.1533,5.518295320519986,5.445085248549049
5,0.3492,0.34574,8.138700896228395,7.940733747707053
6,8.70256,40.41942,3.0924806240123184,4.525892172208691
7,0.07464,0.07834,530.866238843877,543.9566434052808
8,0.02938,0.03122,272.7048758534534,279.837600264792
9,9.20762,66.72784,12.768671918265694,15.356990262158174
10,0.06254,0.06468,583.7065347246191,600.5029021043825
11,0.034,0.0352,8.595049660321319,9.007826255390055
12,0.0,2e-05,0.0,0.0724376803285303
13,0.0,0.0,0.0,0.0
14,4.93948,9.48438,87.82944989156312,93.50565835504068
15,0.03712,0.03718,4.607698142393626,4.630643242698044
16,0.23238,0.23096,2.5905409139426747,2.5969029319805803
17,2e-05,0.0,0.5003427108539302,0.0
18,6.08922,16.25244,38.02409335456956,41.65553378005124
19,0.00086,0.00076,101.02080777746266,89.40073369778085
20,4e-05,4e-05,1.241350048815369,1.3127429436791178
21,0.00068,0.00062,60.14474125023066,56.79985214070879
22,0.39008,0.40146,28.44243895347552,28.76216524253853
23,0.0047,0.00516,468.52919642137175,497.2533613261545
24,2.80504,3.89112,94.32764005739529,97.35532635450188
25,0.18348,0.18604,136.4420604826866,138.96341212195918
26,0.00152,0.00118,320.3247105999325,262.12680899764365
27,0.9438,0.96394,2.422433091424081,2.4492082843834053
28,4.75014,9.68958,33.60186647380476,36.3232884879132
29,10.07512,106.0007,4.986964823073949,7.040489404609079
30,0.0994,0.1012,860.1174218621495,870.9013410075012
31,0.71914,0.75528,122.32501856293064,124.146772985214
32,0.0048,0.00436,34.74184018840468,34.48798265006446
33,0.00336,0.00272,0.7050169541949737,0.5155388496672498
34,0.00504,0.00512,4.862113997529946,5.11430181834887
35,6.87244,24.69182,48.52884587722978,52.9884763017009
36,8.63498,83.40864,0.38342259142439,1.1504415932808103
37,0.58816,0.58628,0.9669942553920824,0.9650455817178104
38,0.043,0.04346,41.37645436909263,40.91527273169456
39,0.00272,0.00264,1.8336227767065043,1.7700516228620988
40,0.1734,0.17264,59.29865971824984,58.890243291173086
41,0.01346,0.01402,87.36125594914022,88.53686823594587
42,2.0114,2.14448,0.8238446611289868,0.8411824222095449
43,0.0,2e-05,0.0,5.068768354345171
44,0.00246,0.00224,5.785300683743756,5.005718903594637
45,0.01732,0.01766,0.3110187314075853,0.3128423696275135
46,0.00054,0.0004,9.458795680329173,8.486337643860626
47,0.0,0.0,0.0,0.0
48,0.00028,0.00022,2.2742670652220487,1.9730686342916683
49,0.17326,0.18492,621.2138060042029,641.6810464657694
