,tdwells,true_pdf,approx_pdf
0,0.0,-4.440892098500626e-15,0.0
1,0.00012153784881680486,33.68830893133182,144.03249496879994
2,0.00024307569763360972,85.51043756086682,171.68101653470208
3,0.0003646135464504146,135.16101606044347,186.80734012049513
4,0.00048615139526721944,175.21381363360126,195.81978632833662
5,0.0006076892440840243,204.26128830964367,201.11180696964738
6,0.0007292270929008292,223.40956958710558,203.8922586140678
7,0.000850764941717634,234.5688083633679,204.87411732255453
8,0.0009723027905344389,239.68023085932103,204.52004340975063
9,0.0010938406393512438,240.4147169497487,203.15027055830333
10,0.0012153784881680486,238.09608001503332,200.99690765565148
11,0.0013369163369848535,233.72176433660792,198.23404502694004
12,0.0014584541858016584,228.01798598098637,194.99570621028298
13,0.0015799920346184632,221.50014606244062,191.3871793061494
14,0.001701529883435268,214.5265458900304,187.49250471270008
15,0.0018230677322520728,207.34177137222645,183.3796129581673
16,0.0019446055810688778,200.10984200495636,179.10396297380018
17,0.0020661434298856825,192.93863903298947,174.71118825751978
18,0.0021876812787024877,185.89745364240798,170.23906607671688
19,0.0023092191275192924,179.0293559948613,165.71901224628039
20,0.002430756976336097,172.35978632187746,161.17723557206716
21,0.0025522948251529023,165.90245209160153,156.63564307932816
22,0.002673832673969707,159.66333669807938,152.11255938950566
23,0.0027953705227865117,153.6434019138787,147.6233052222453
24,0.002916908371603317,147.84039649458362,143.18066754210068
25,0.0030384462204201216,142.25005845886682,138.79528525660817
26,0.0031599840692369263,136.8669091897345,134.47596830769558
27,0.003281521918053731,131.6847744574892,130.22996365630038
28,0.003403059766870536,126.69712372904678,126.06317850377289
29,0.003524597615687341,121.89728924807869,121.98036876714266
30,0.0036461354645041457,117.27860580492403,117.98529908838415
31,0.003767673313320951,112.8344985475598,114.08087934560697
32,0.0038892111621377555,108.55853681910827,110.26928163184652
33,0.00401074901095456,104.4444658996799,106.55204089379923
34,0.004132286859771365,100.48622447038598,102.93014182047436
35,0.00425382470858817,96.67795291557782,99.404094098356
36,0.004375362557404975,93.0139957628152,95.97399777457707
37,0.00449690040622178,89.48890045229871,92.63960017008316
38,0.004618438255038585,86.09741383347233,89.40034554383301
39,0.0047399761038553895,82.83447729898985,86.2554185139578
40,0.004861513952672194,79.69522113033524,83.20378208274984
41,0.004983051801488999,76.67495843755579,80.24421098191192
42,0.0051045896503058045,73.76917893546765,77.37532094691677
43,0.005226127499122609,70.97354268257209,74.59559444010375
44,0.005347665347939414,68.28387391269602,71.90340326777455
45,0.005469203196756219,65.69615498127173,69.29702847425669
46,0.005590741045573023,63.20652047970088,66.7746778434897
47,0.005712278894389828,60.81125153088159,64.33450129439079
