,x_dwell_2free1um,y_dwell_2free1um,x_detach_2free1um,y_detach_2free1um,x_detach_2free100um,y_detach_2free100um,x_dwell_4free1um,y_dwell_4free1um,x_detach_4free1um,y_detach_4free1um,x_detach_4free100um,y_detach_4free100um
0,0.0,0.0,-0.005000000000000001,0.0025480072739428117,-0.005000000000000001,0.015393862804891885,0.0,0.0,-0.005000000000000001,0.024405735678140646,-0.005000000000000001,0.0211655962979673
1,0.026086956521739132,0.5894515317144082,0.006103678929765885,0.0032743197132046077,0.006103678929765885,0.01969488476906115,0.026086956521739132,0.585867482420452,0.006103678929765885,0.03120665667836537,0.006103678929765885,0.027068874900675173
2,0.052173913043478265,0.6696786000970048,0.01720735785953177,0.004179123539437538,0.01720735785953177,0.025015828626958805,0.052173913043478265,0.657228801679258,0.01720735785953177,0.03961254101759886,0.01720735785953177,0.03436755374340978
3,0.0782608695652174,0.7415947956176722,0.028311036789297656,0.0052980593462053,0.028311036789297656,0.0315455616597577,0.0782608695652174,0.7215566638327761,0.028311036789297656,0.04991740822484246,0.028311036789297656,0.04331819665119602
4,0.10434782608695653,0.8019908832460986,0.03941471571906355,0.006671780204029876,0.03941471571906355,0.03949394283223353,0.10434782608695653,0.77652869762644,0.03941471571906355,0.062446679566955675,0.03941471571906355,0.05420514722999819
5,0.13043478260869568,0.8487336964373688,0.05051839464882943,0.008346183763009102,0.05051839464882943,0.04909069774372058,0.13043478260869568,0.8206151138436825,0.05051839464882943,0.0775548957099976,0.05051839464882943,0.06733869422241134
6,0.1565217391304348,0.8809185676143624,0.06162207357859531,0.01037255542781734,0.06162207357859531,0.06058327970092278,0.1565217391304348,0.8531652661176734,0.06162207357859531,0.09562173922887246,0.06162207357859531,0.08305179196511538
7,0.1826086956521739,0.8988248962485915,0.0727257525083612,0.012807605617410027,0.0727257525083612,0.0742335837555573,0.1826086956521739,0.8743662410531668,0.0727257525083612,0.1170461484746721,0.0727257525083612,0.10169515134595072
8,0.20869565217391306,0.9037085662811143,0.08382943143812709,0.015713386982445326,0.08382943143812709,0.09031341377585249,0.20869565217391306,0.8850950138063055,0.08382943143812709,0.14223836636410886,0.08382943143812709,0.12363056481908337
9,0.2347826086956522,0.897495246920326,0.09493311036789297,0.01915708164786237,0.09493311036789297,0.10909864958357784,0.2347826086956522,0.8867044920132374,0.09493311036789297,0.17160984783816813,0.09493311036789297,0.14922239685371774
10,0.26086956521739135,0.8824480755540025,0.10603678929765886,0.02321065397842418,0.10603678929765886,0.13086212147679002,0.26086956521739135,0.880790954790191,0.10603678929765886,0.20556105241741837,0.10603678929765886,0.17882725811306543
11,0.28695652173913044,0.8608727130433381,0.11714046822742474,0.027950370807991558,0.11714046822742474,0.15586527149105717,0.28695652173913044,0.8689856196324179,0.11714046822742474,0.2444672708656418,0.11714046822742474,0.21278198546284047
12,0.3130434782608696,0.8348991696021067,0.12824414715719062,0.03345619817862237,0.12824414715719062,0.18434876166952835,0.3130434782608696,0.8527994021079361,0.12824414715719062,0.28866277270927954,0.12824414715719062,0.2513901665374865
13,0.33913043478260874,0.8063525845793871,0.1393478260869565,0.0398110909381982,0.1393478260869565,0.21652227527592177,0.33913043478260874,0.8335324255265927,0.1393478260869565,0.3384237073105666,0.1393478260869565,0.2949075711446939
14,0.3652173913043478,0.7767026982508453,0.15045150501672241,0.047100198491561614,0.15045150501672241,0.25255384199819214,0.3652173913043478,0.8122436755983968,0.15045150501672241,0.3939503364166688,0.15045150501672241,0.34352697467487286
15,0.391304347826087,0.7470689524725503,0.1615551839464883,0.05541001598808713,0.1615551839464883,0.2925590965607064,0.391304347826087,0.7897651252044052,0.1615551839464883,0.4553493100730397,0.1615551839464883,0.3973629719827965
16,0.4173913043478261,0.7182556877570117,0.17265886287625418,0.06482751465918316,0.17265886287625418,0.33659094509312726,0.4173913043478261,0.7667401925961913,0.17265886287625418,0.5226168090144572,0.17265886287625418,0.4564374742270642
17,0.44347826086956527,0.6907971548280527,0.18376254180602006,0.0754392873547119,0.18376254180602006,0.3846301584086749,0.44347826086956527,0.7436679172629187,0.18376254180602006,0.595623453548548,0.18376254180602006,0.5206666461408557
18,0.4695652173913044,0.665000839317014,0.19486622073578594,0.08733074515064357,0.19486622073578594,0.4365774299423353,0.4695652173913044,0.7209397061711299,0.19486622073578594,0.6741019108416381,0.19486622073578594,0.5898500682158474
19,0.4956521739130435,0.640985905194374,0.20596989966555185,0.1005853979683519,0.20596989966555185,0.49224742364449303,0.4956521739130435,0.6988624336872543,0.20596989966555185,0.7576381106994634,0.20596989966555185,0.6636628900703619
20,0.5217391304347827,0.6187188029150111,0.21707357859531773,0.11528424643012568,0.21707357859531773,0.5513652906060793,0.5217391304347827,0.677667941877809,0.21707357859531773,0.8456668987255768,0.21707357859531773,0.7416516731930651
21,0.5478260869565218,0.5980495204885773,0.2281772575250836,0.13150530388245027,0.2281772575250836,0.6135660519360558,0.5478260869565218,0.6575132536991325,0.2281772575250836,0.9374728133936007,0.2281772575250836,0.8232345020007982
22,0.5739130434782609,0.5787504080442385,0.2392809364548495,0.14932325708807861,0.2392809364548495,0.678397131431775,0.5739130434782609,0.6384776194300796,0.2392809364548495,1.032196472933272,0.2392809364548495,0.907705774300046
23,0.6000000000000001,0.5605566465816187,0.25038461538461537,0.16880926216468134,0.25038461538461537,0.7453241796942464,0.6000000000000001,0.6205621014411645,0.25038461538461537,1.1288468067456057,0.25038461538461537,0.9942458724824094
24,0.6260869565217392,0.5432049402956199,0.26148829431438125,0.19003085973079767,0.26148829431438125,0.8137401690320042,0.6260869565217392,0.6036954309864063,0.26148829431438125,1.226319076836546,0.26148829431438125,1.0819356757738088
25,0.6521739130434783,0.5264659687666524,0.27259197324414713,0.21305198079245596,0.27259197324414713,0.8829775655228752,0.6521739130434783,0.587747196721341,0.27259197324414713,1.3234183241713404,0.27259197324414713,1.1697756156950714
26,0.6782608695652175,0.5101667830992997,0.283695652173913,0.23793300355526625,0.283695652173913,0.9523232123187164,0.6782608695652175,0.5725468926974371,0.283695652173913,1.4188875627102364,0.283695652173913,1.2567087182090595
