,xdata,ydata,kfpp
0,0.1,29901.59455721668,2999.1290763466745
1,0.11768119524349985,25408.98271414209,2999.1290763466745
2,0.1384886371393873,21591.37036428559,2999.1290763466745
3,0.16297508346206444,18347.341153027755,2999.1290763466745
4,0.19179102616724888,15590.716184573403,2999.1290763466745
5,0.22570197196339203,13248.264646117757,2999.1290763466745
6,0.2656087782946686,11257.758402865586,2999.1290763466745
7,0.3125715849688236,9566.318883464444,2999.1290763466745
8,0.3678379771828633,8129.012340221657,2999.1290763466745
9,0.43287612810830584,6907.656166647122,2999.1290763466745
10,0.509413801481638,5869.804561683925,2999.1290763466745
11,0.599484250318941,4987.8865944031495,2999.1290763466745
12,0.7054802310718642,4238.473771516744,2999.1290763466745
13,0.8302175681319743,3601.657650355023,2999.1290763466745
14,0.9770099572992251,3060.520963355835,2999.1290763466745
15,1.1497569953977356,2600.6882042820553,2999.1290763466745
16,1.3530477745798069,2209.9437373157584,2999.1290763466745
17,1.5922827933410921,1877.907283948856,2999.1290763466745
18,1.8738174228603839,1595.7581668534106,2999.1290763466745
19,2.2051307399030455,1356.0009851629652,2999.1290763466745
20,2.595024211399736,1152.2664962377362,2999.1290763466745
21,3.0538555088334154,979.1424142604312,2999.1290763466745
22,3.5938136638046276,832.0296307616865,2999.1290763466745
23,4.229242874389499,707.0200375175438,2999.1290763466745
24,4.977023564332109,600.7927061367916,2999.1290763466745
25,5.8570208180566645,510.5256663085911,2999.1290763466745
26,6.892612104349695,433.82093906527535,2999.1290763466745
27,8.111308307896868,368.6408335398323,2999.1290763466745
28,9.545484566618338,313.25381491669907,2999.1290763466745
29,11.233240329780276,266.1885055369554,2999.1290763466745
30,13.219411484660288,226.19459717941515,2999.1290763466745
31,15.556761439304722,192.20963613717967,2999.1290763466745
32,18.30738280295368,163.3307987223188,2999.1290763466745
33,21.54434690031882,138.79090740399369,2999.1290763466745
34,25.353644939701113,117.93805043942207,2999.1290763466745
35,29.836472402833373,100.21826358526594,2999.1290763466745
36,35.11191734215131,85.16081382237786,2999.1290763466745
37,41.320124001153346,72.36569415034198,2999.1290763466745
38,48.62601580065353,61.49299724616715,2999.1290763466745
39,57.22367659350214,52.253885694251366,2999.1290763466745
40,67.34150657750821,44.40291890826762,2999.1290763466745
41,79.24828983539169,37.731532906673344,2999.1290763466745
42,93.26033468832199,32.06249972954573,2999.1290763466745
43,109.74987654930557,27.245219309001474,2999.1290763466745
44,129.1549665014884,23.151718719908533,2999.1290763466745
45,151.99110829529332,19.673252529432762,2999.1290763466745
46,178.8649529057435,16.71741393238391,2999.1290763466745
47,210.49041445120199,14.205679928550271,2999.1290763466745
48,247.70763559917089,12.071325328704065,2999.1290763466745
49,291.50530628251755,10.25765017403732,2999.1290763466745
50,343.04692863149154,8.716473479737118,2999.1290763466745
51,403.70172585965537,7.406853288413189,2999.1290763466745
52,475.0810162102793,6.293999031100351,2999.1290763466745
53,559.0810182512223,5.348347302283198,2999.1290763466745
54,657.9332246575676,4.544776496547878,2999.1290763466745
55,774.263682681127,3.861939443378408,2999.1290763466745
56,911.1627561154887,3.2816963112819213,2999.1290763466745
57,1072.2672220103232,2.788632716120535,2999.1290763466745
58,1261.856883066021,2.3696502320106783,2999.1290763466745
59,1484.9682622544635,2.013618426552793,2999.1290763466745
60,1747.5284000076829,1.711079176572193,2999.1290763466745
61,2056.5123083486515,1.453995409403954,2999.1290763466745
62,2420.1282647943835,1.2355375949364051,2999.1290763466745
63,2848.035868435799,1.0499023164915147,2999.1290763466745
64,3351.6026509388407,0.892158100807109,2999.1290763466745
65,3944.206059437656,0.758114411534571,2999.1290763466745
66,4641.588833612773,0.6442103260133627,2999.1290763466745
67,5462.277217684337,0.5474199379776825,2999.1290763466745
68,6428.073117284319,0.46517197318143244,2999.1290763466745
69,7564.633275546291,0.3952814824993257,2999.1290763466745
70,8902.150854450374,0.3358917979048652,2999.1290763466745
71,10476.157527896641,0.285425209363191,2999.1290763466745
72,12328.467394420659,0.24254105235131557,2999.1290763466745
73,14508.287784959402,0.20610009258442866,2999.1290763466745
74,17073.526474706887,0.1751342618147082,2999.1290763466745
75,20092.33002565046,0.1488209407223723,2999.1290763466745
76,23644.894126454074,0.12646110571399247,2999.1290763466745
77,27825.59402207126,0.10746075908927133,2999.1290763466745
78,32745.49162877725,0.09131514926145953,2999.1290763466745
79,38535.28593710528,0.07759536183543589,2999.1290763466745
80,45348.78508128582,0.0659369253302361,2999.1290763466745
81,53366.99231206302,0.05603012885261993,2999.1290763466745
82,62802.914418342465,0.047611794506917826,2999.1290763466745
83,73907.22033525775,0.04045828597202972,2999.1290763466745
84,86974.90026177834,0.03437956751570674,2999.1290763466745
85,102353.10218990248,0.029214155621525056,2999.1290763466745
86,120450.35402587811,0.02482482911656074,2999.1290763466745
87,141747.4162926805,0.02109498383764243,2999.1290763466745
88,166810.0537200059,0.017925534996473966,2999.1290763466745
89,196304.06500402684,0.015232284953754423,2999.1290763466745
90,231012.9700083158,0.012943686476192358,2999.1290763466745
91,271858.824273294,0.010998942056468702,2999.1290763466745
92,319926.71377973846,0.009346388803844365,2999.1290763466745
93,376493.58067924634,0.007942125999404845,2999.1290763466745
94,443062.14575838775,0.006748848856413639,2999.1290763466745
95,521400.82879996847,0.005734857504165611,2999.1290763466745
96,613590.7273413163,0.004873214868611208,2999.1290763466745
97,722080.9018385457,0.004141031078523464,2999.1290763466745
98,849753.4359086438,0.003518855387179791,2999.1290763466745
99,1000000.0,0.002990159455721668,2999.1290763466745
