,forces,zruns_2free100um,tdwells_2free100um,vruns_2free100um,kfpps_2free100um,kfpms_2free100um,zruns_4free100um,tdwells_4free100um,vruns_4free100um,kfpps_4free100um,kfpms_4free100um
0,0.0,0.0824760318707346,0.004405622039098903,4.825285717302946,2999.1290763466745,0.019268947349062707,0.026914039411965164,0.007198367311556379,1.6183127329894291,345.40885855979434,3.768278226725975e-07
1,0.05306122448979592,0.08197555769019405,0.004409709953989018,4.807948280328562,2940.8906355994277,0.030201365724568708,0.029271761196309354,0.007101853126850979,1.7381682339674869,393.41084343779664,6.860261819185706e-07
2,0.10612244897959185,0.08129910129195035,0.0044152998864719385,4.784356491581093,2864.5305929169813,0.047020370630800036,0.03168313973141544,0.007011852055518436,1.8573165314906468,446.80353344829547,1.245362656680306e-06
3,0.15918367346938778,0.08043764188832436,0.00442252758730492,4.754047760972838,2771.016127297174,0.07270369975331337,0.034134242032013117,0.0069285776637308125,1.9748030571150665,505.9259955476511,2.253985459490963e-06
4,0.2122448979591837,0.07938107797464235,0.004431562058214548,4.716465836523068,2661.678173359757,0.11162407600996206,0.03661164575955102,0.006852077172225281,2.089764084227133,571.0801211997561,4.066736497417336e-06
5,0.2653061224489796,0.07811835705165952,0.004442610551568384,4.670953481800387,2538.1825704390453,0.17014142522470965,0.03910267485322552,0.006782257962541249,2.2014455697519995,642.5144756656332,7.313357139815951e-06
6,0.31836734693877555,0.07663770242999077,0.0044559244107887615,4.616746236279109,2402.4878552279224,0.2574146649678453,0.041595487710094046,0.00671891564736208,2.3092128104004868,720.4058762383125,1.3106779326941892e-05
7,0.37142857142857144,0.07492696745436789,0.004471805757171682,4.552968507621095,2256.791001832128,0.38649893446853245,0.044079024188322734,0.006661761461625372,2.412551546331802,804.8388421416432,2.3405210083163157e-05
8,0.4244897959183674,0.0729741521733527,0.004490614947875231,4.478633839126705,2103.4631608395443,0.5758067411735581,0.04654283411328732,0.006610447418194234,2.5110619653768316,895.7832115373856,4.1638148533444425e-05
9,0.47755102040816333,0.07076811973165838,0.004512778594032829,4.392651960768369,1944.9781140144876,0.8510232567516242,0.0489768213420334,0.006564588310474848,2.6044475148508166,993.0704068868981,7.37825068488078e-05
10,0.5306122448979592,0.06829954704469941,0.004538797711673156,4.293846154664564,1783.836685222834,1.2475750367998102,0.05137094291825779,0.00652378016910289,2.6925005222626583,1096.369047436963,0.00013020120627662703
11,0.5836734693877551,0.0655621330882087,0.004569255248596138,4.18098546683174,1622.4906800291294,1.813755202403788,0.05371490268372677,0.006487615166834947,2.775086433960239,1205.1608522532936,0.00022876423765519515
