,MyoV Time (s),MyoV Disp (um),MyoXI Time (s),MyoXI Disp (um)
0,0.0,0.0,0.0,0.036
1,0.0,0.036,0.0,0.072
2,0.0415146022405537,0.036,0.005621653380067038,0.072
3,0.042786368727284696,0.036,0.006491297248440553,0.072
4,0.04312465092703377,0.036,0.0069387960334257315,0.072
5,0.04312465092703377,0.072,0.0069387960334257315,0.108
6,0.06892365444200976,0.072,0.011151563625175775,0.108
7,0.07348134675644502,0.072,0.011577092722875548,0.108
8,0.07363167882429167,0.072,0.011703954468186062,0.108
9,0.07363167882429167,0.108,0.011703954468186062,0.144
10,0.15353859434775075,0.108,0.011957182366641561,0.144
11,0.15482505190166762,0.108,0.012770737433744905,0.144
12,0.1548448381080263,0.108,0.01301390044210926,0.144
13,0.1548448381080263,0.144,0.01301390044210926,0.18
14,0.17288946070073763,0.144,0.021868105474761812,0.18
15,0.17449617734630607,0.144,0.0224404398019189,0.18
16,0.17452627378136754,0.144,0.02252148916116159,0.18
17,0.17452627378136754,0.18,0.02252148916116159,0.216
18,0.1961141005324052,0.18,0.034772095849517015,0.216
19,0.19673431738817726,0.18,0.03477855757075066,0.0
20,0.19690488338563483,0.18,0.03692244069921902,0.0
21,0.19690488338563483,0.216,0.038580057626155906,0.0
22,0.2821141739492887,0.216,0.050591228276065436,0.0
23,0.28400409323652553,0.216,0.0567649198828013,0.0
24,0.284214924170179,0.216,0.06000733791953561,0.0
25,0.284214924170179,0.252,0.06130553773719605,0.0
26,0.35210077523188943,0.252,0.06131827218188768,0.0
27,0.3560313031314877,0.252,0.06131827218188768,0.036
28,0.35659342274801276,0.252,0.06686919326487129,0.036
29,0.35659342274801276,0.288,0.06756050886019871,0.036
30,0.39208385894876585,0.288,0.06779774144761053,0.036
31,0.39240926289891576,0.288,0.06779774144761053,0.072
32,0.3928597390654289,0.288,0.06830002727999052,0.072
33,0.3928597390654289,0.324,0.06877826588870661,0.072
34,0.45531685652628795,0.324,0.06921057809444875,0.072
35,0.45852739754253946,0.324,0.06921057809444875,0.108
36,0.4595145730062171,0.324,0.07385226954499569,0.108
37,0.4595145730062171,0.36,0.07451512565188168,0.108
38,0.4720825647464295,0.36,0.075052454641229,0.108
39,0.4733811991597747,0.36,0.075052454641229,0.144
40,0.5435973367255897,0.36,0.07765889359803424,0.144
41,0.5436221424283048,0.36,0.07850453366115762,0.0
42,0.5436878799008866,0.36,0.08878736969571843,0.0
43,0.5436878799008866,0.396,0.0958942896228212,0.0
44,0.671192255470821,0.396,0.09815766091052414,0.0
45,0.6724195561685988,0.396,0.10756643940521471,0.0
46,0.6727300582399138,0.396,0.11503311826450968,0.0
47,0.6727300582399138,0.432,0.1153486194817539,0.0
48,0.8087714523395988,0.432,0.11570446953050251,0.0
49,0.8102836152160222,0.432,0.11570446953050251,0.036
50,0.8109218907947664,0.432,0.11759110952296314,0.036
51,0.8109218907947664,0.468,0.11814259073335798,0.036
52,0.8375995634852984,0.468,0.11943221235072343,0.036
53,0.8396361564237793,0.468,0.11943221235072343,0.072
54,0.8398201202608604,0.468,0.12045858290091349,0.072
55,0.8398201202608604,0.504,0.12159245740166291,0.0
56,0.8612632479471003,0.504,0.12211694707036003,0.0
57,0.8643485454777036,0.504,0.13009706332996895,0.0
58,0.8643851962420115,0.504,0.13031623544344395,0.0
59,0.8643851962420115,0.54,0.13069855339165137,0.0
60,0.8986224530887483,0.54,0.13077425662003161,0.0
61,0.8987100252891338,0.54,0.13077425662003161,0.036
62,0.8993015144969689,0.54,0.13241387332272403,0.036
63,0.8993015144969689,0.576,0.13412137370679034,0.036
64,0.9453870294940145,0.576,0.13453872578323178,0.036
65,0.9485715831044672,0.576,0.13453872578323178,0.072
66,0.9485877295632292,0.576,0.13561809545511316,0.072
67,0.9485877295632292,0.612,0.1358917707659799,0.0
68,1.0028774937313187,0.612,0.14604458524094177,0.0
69,1.0068647953154652,0.612,0.14727278546673528,0.0
70,1.0069537877748829,0.612,0.14818249683334894,0.0
71,1.0069537877748829,0.648,0.1489330337864585,0.0
72,1.0566297213377496,0.648,0.149023527650467,0.0
73,1.057110402448096,0.648,0.149023527650467,0.036
74,1.057458067800816,0.648,0.1503321789992036,0.036
75,1.057458067800816,0.684,0.15376871914811563,0.036
76,1.3108380902340144,0.684,0.15379443991550978,0.036
77,1.311413850660358,0.684,0.15379443991550978,0.072
78,1.3123234777175838,0.684,0.1581081794017436,0.072
79,1.3123234777175838,0.72,0.15911932261059647,0.0
80,1.320696974341594,0.72,0.16256684210881112,0.0
81,1.321157115535236,0.72,0.16344372473097302,0.0
82,1.3212022439253701,0.72,0.16407775311511585,0.0
83,1.3212022439253701,0.756,0.16407775311511585,0.036
84,1.4463579187722004,0.756,0.16409317526370693,0.036
85,1.4467187788304656,0.756,0.16419047943385756,0.036
86,1.4470670440342062,0.756,0.16420928517717748,0.036
87,1.4470670440342062,0.792,0.16420928517717748,0.072
88,1.4756379249316822,0.792,0.16943338083386283,0.072
89,1.480496882368044,0.792,0.17138465094990085,0.072
90,1.4843847864491835,0.792,0.17273418374233707,0.072
91,1.4845437304406701,0.792,0.17273418374233707,0.108
92,1.4850463868849886,0.792,0.18298330705813903,0.108
93,1.4850463868849886,0.828,0.18313291937668286,0.108
94,1.6158116912562335,0.828,0.18333965037186228,0.108
95,1.6168886277467394,0.828,0.18333965037186228,0.144
96,1.6171257098661087,0.828,0.18454804888152232,0.144
97,1.6171257098661087,0.864,0.1848608391123321,0.144
98,1.6734065989101623,0.864,0.18593066039587836,0.144
99,1.6744192677910803,0.864,0.18593066039587836,0.18
100,1.674554788070708,0.864,0.1864998923851129,0.18
101,1.674554788070708,0.9,0.18944644036813685,0.18
102,1.748155517111357,0.9,0.1898378864029331,0.18
103,1.750108018012348,0.9,0.1898378864029331,0.216
104,1.750184021848355,0.9,0.18992140749962694,0.216
105,1.750184021848355,0.936,0.1907500539873368,0.216
106,1.8587170388238903,0.936,0.19093830367760756,0.216
107,1.8653965069523153,0.936,0.19093830367760756,0.252
108,1.869752675806616,0.936,0.19506024538224587,0.252
109,1.8704700111223715,0.936,0.19609151334335628,0.252
110,1.8714241100601257,0.936,0.19623134151715327,0.252
111,1.8714241100601257,0.972,0.19848638958395792,0.0
112,1.9312883674328987,0.972,0.20281367046611098,0.0
113,1.9341358604607635,0.972,0.202932082029756,0.0
114,1.9700122796970945,0.972,0.20696981855314345,0.0
115,1.9710940097026892,0.972,0.20846777217316959,0.0
116,1.9712646005312209,0.972,0.20913660667488276,0.0
117,1.9712646005312209,1.008,0.21090919778194284,0.0
118,2.040381272268675,1.008,0.2111787594736656,0.0
119,2.0432626612645777,1.008,0.2111787594736656,0.036
120,2.044175077642926,1.008,0.21155555553673544,0.036
121,2.044175077642926,1.044,0.2116554805939943,0.0
122,2.2936227741093447,1.044,0.2137135949289357,0.0
123,2.294403117908942,1.044,0.21386203474430765,0.0
124,2.2944031638465674,1.044,0.21473395412025997,0.0
125,2.2944031638465674,1.08,0.21473395412025997,0.036
126,2.3282222357860434,1.08,0.21717992026099786,0.036
127,2.3302698558461543,1.08,0.2176954836759295,0.036
128,2.3304812151089394,1.08,0.21835405142912734,0.036
129,2.3304812151089394,1.116,0.21835405142912734,0.072
130,2.3459703787574924,1.116,0.2213452704573502,0.072
131,2.346176496619016,1.116,0.2219666738010826,0.072
132,2.3465364107672784,1.116,0.22284023408996045,0.072
133,2.3465364107672784,1.152,0.22284023408996045,0.108
134,2.4172448122903702,1.152,0.22359344629785305,0.108
135,2.4181687533209484,1.152,0.22436961296989555,0.108
136,2.4184737629673023,1.152,0.2246606330656853,0.108
137,2.4184737629673023,1.188,0.2246606330656853,0.144
138,2.4469245207196266,1.188,0.22708812723905325,0.144
139,2.4469251780629335,0.0,0.23007364336693925,0.144
140,2.551595964195023,0.0,0.23105893608193373,0.144
141,2.552688888942015,0.0,0.2315265750064981,0.144
142,2.552925601757444,0.0,0.23171858791075906,0.144
143,2.552925601757444,0.036,0.23171858791075906,0.18
144,2.6300666373165313,0.036,0.23964800007165898,0.18
145,2.630721247860663,0.036,0.24135843143338143,0.18
146,2.6314328543537755,0.036,0.24139154538749263,0.18
147,2.6314328543537755,0.072,0.24139154538749263,0.216
148,2.6517861422879534,0.072,0.24157095482433721,0.216
149,2.6522260570537313,0.072,0.24183843887759338,0.216
150,2.652879617446196,0.072,0.24214894015506783,0.216
151,2.652879617446196,0.108,0.24214894015506783,0.252
152,2.6827932588425583,0.108,0.24890746111933915,0.252
153,2.6850603356331533,0.108,0.24904537931356963,0.252
154,2.6853223820473033,0.108,0.24923177718745748,0.252
155,2.6853223820473033,0.144,0.24923177718745748,0.288
156,2.7590294451405626,0.144,0.25128186554058374,0.288
157,2.7609635057196016,0.144,0.2518809329510008,0.288
158,2.761326523788412,0.144,0.252098125342477,0.288
159,2.761326523788412,0.18,0.252098125342477,0.324
160,2.7814455759470107,0.18,0.2573937582823236,0.324
161,2.781534343783889,0.18,0.25952594824513664,0.324
162,2.781754537055477,0.18,0.2598475513589369,0.324
163,2.781754537055477,0.216,0.2598475513589369,0.36
164,2.8048309983650057,0.216,0.2607473830070397,0.36
165,2.805950160356808,0.216,0.2608184791941177,0.36
166,2.806270676794554,0.216,0.2613786583148521,0.36
167,2.806270676794554,0.252,0.2613786583148521,0.396
168,2.8267345976276843,0.252,0.27056660713972036,0.396
169,2.827540647571837,0.252,0.2724844709178109,0.396
170,2.827575283625414,0.252,0.27261176730521974,0.396
171,2.827575283625414,0.288,0.27261176730521974,0.432
172,3.0062933692576905,0.288,0.2734334626879047,0.432
173,3.0089394921350348,0.288,0.2743596672950135,0.432
174,3.0091128994410994,0.288,0.27510633289820596,0.432
175,3.0091128994410994,0.324,0.27510633289820596,0.468
176,3.13038611909289,0.324,0.27705002297380954,0.468
177,3.132940490301081,0.324,0.2775120526696986,0.468
178,3.1336716725682336,0.324,0.2775693507339927,0.468
179,3.1336716725682336,0.36,0.2775693507339927,0.504
180,3.156120532004202,0.36,0.2895033026408136,0.504
181,3.157211405045544,0.36,0.29162900176263573,0.0
182,3.157366200175943,0.36,0.2933465022567763,0.0
183,3.157366200175943,0.396,0.29372567644614556,0.0
184,3.181831715367572,0.396,0.29377184358731334,0.0
185,3.187303177497853,0.396,0.29377184358731334,0.036
186,3.1873432872474226,0.396,0.29542480490368916,0.036
187,3.1873432872474226,0.432,0.29702318342686773,0.036
188,3.2893065447841536,0.432,0.2973071273242702,0.036
189,3.289823481960184,0.432,0.2973071273242702,0.072
190,3.290307003391966,0.432,0.31252859773581143,0.072
191,3.290307003391966,0.468,0.3180545677747091,0.072
192,3.3323150691854053,0.468,0.3306873704985538,0.072
193,3.3431567243046345,0.468,0.3316293908053227,0.0
194,3.4529050698091197,0.468,0.3339748165985581,0.0
195,3.4549529619178188,0.468,0.3340806333738282,0.0
196,3.4551914089413387,0.468,0.3341269979715529,0.0
197,3.4551914089413387,0.504,0.3341269979715529,0.036
198,3.5724217091826063,0.504,0.3370304117918055,0.036
199,3.5822076454738365,0.0,0.33708119607374964,0.036
200,3.6180283001544638,0.0,0.337704599427294,0.036
201,3.622905779653827,0.0,0.337704599427294,0.072
202,3.672320450467403,0.0,0.34037816184352554,0.072
203,3.6756801388632923,0.0,0.3415389097489365,0.072
204,3.675822840299297,0.0,0.34162544449264143,0.072
205,3.675822840299297,0.036,0.34162544449264143,0.108
206,3.8548969042516745,0.036,0.34779438611631264,0.108
207,3.855377526472836,0.036,0.35095701914712407,0.108
